a,error,error_scaled,s,tau,v,v_scaled
1.1111111111111112,0.7655702236506892,0.7655702236506892,0.3513641844631534,1.0,0.9,0.9
1.0869565217391304,0.8054062033297597,0.8054062033297597,0.3074377309506727,1.0,0.92,0.92
1.0638297872340425,0.8479676862737271,0.8479676862737271,0.26058401518969976,1.0,0.9400000000000001,0.9400000000000001
1.0416666666666667,0.8938462370475898,0.8938462370475898,0.20833333333333354,1.0,0.96,0.96
1.0204081632653061,0.9439631908445928,0.9439631908445928,0.1443075063646016,1.0,0.98,0.98
1.0,1.0000000000000002,1.0000000000000002,0.0,1.0,1.0,1.0
5.0,0.017390748373544603,0.0017390748373544603,15.652475842498529,10.0,0.2,0.02
2.5,0.049447800021720036,0.004944780002172003,7.745966692414834,10.0,0.4,0.04
1.6666666666666667,0.09132713833155201,0.009132713833155202,5.109903238918631,10.0,0.6,0.06
1.25,0.14136999719933532,0.014136999719933532,3.7914377220257753,10.0,0.8,0.08
1.0,0.1986579515100683,0.01986579515100683,3.0,10.0,1.0,0.1
0.8333333333333334,0.26260140032806917,0.026260140032806918,2.472066162365221,10.0,1.2,0.12
0.7142857142857142,0.3327922240683009,0.03327922240683009,2.094696899802168,10.0,1.4000000000000001,0.14
0.625,0.4089357111209728,0.04089357111209728,1.8114220932736798,10.0,1.6,0.16
0.5555555555555556,0.49081418590219417,0.04908141859021942,1.5908690070307059,10.0,1.7999999999999998,0.18
0.5,0.57826562925234,0.057826562925234005,1.4142135623730951,10.0,2.0,0.2
0.45454545454545453,0.6711702436780395,0.06711702436780395,1.2694763676153582,10.0,2.2,0.22
0.4166666666666667,0.7694415907266781,0.0769441590726678,1.1486707293408518,10.0,2.4,0.24
0.3846153846153846,0.8730205348205191,0.08730205348205192,1.0462669622104186,10.0,2.6,0.26
0.3571428571428571,0.9818710045438125,0.09818710045438125,0.9583148474999098,10.0,2.8000000000000003,0.28
0.3333333333333333,1.0959769847052312,0.10959769847052311,0.8819171036881968,10.0,3.0,0.3
0.3125,1.2153403736975923,0.12153403736975923,0.8149003006503311,10.0,3.2,0.32
0.2941176470588235,1.3399794801994092,0.13399794801994092,0.7556019163920662,10.0,3.4000000000000004,0.34
0.2777777777777778,1.4699280004538307,0.14699280004538307,0.7027283689263065,10.0,3.5999999999999996,0.36
0.2631578947368421,1.6052343787154761,0.1605234378715476,0.6552578735783543,10.0,3.8,0.38
0.25,1.7459614895420048,0.17459614895420048,0.6123724356957945,10.0,4.0,0.4
0.23809523809523808,1.8921865853562858,0.18921865853562858,0.573409265656776,10.0,4.2,0.42
0.22727272727272727,2.0440014980612737,0.20440014980612736,0.5378254348272378,10.0,4.4,0.44
0.21739130434782605,2.2015130774452887,0.22015130774452887,0.505171740809663,10.0,4.6000000000000005,0.46
0.20833333333333334,2.3648438569720382,0.2364843856972038,0.4750730937913075,10.0,4.8,0.48
0.2,2.5341329670370696,0.25341329670370694,0.4472135954999579,10.0,5.0,0.5
0.1923076923076923,2.709537309909987,0.27095373099099873,0.4213250442347431,10.0,5.2,0.52
